Data,Nie zindeksowano,Zindeksowano,Wyświetlenia
2026-04-15,,,733
2026-04-16,,,737
2026-04-17,186,70,691
2026-04-18,188,68,472
2026-04-19,188,68,649
2026-04-20,188,68,732
2026-04-21,192,64,647
2026-04-22,192,64,729
2026-04-23,192,64,758
2026-04-24,192,64,732
2026-04-25,194,62,571
2026-04-26,194,62,674
2026-04-27,194,62,712
2026-04-28,197,59,814
2026-04-29,197,59,2318
2026-04-30,197,59,1875
2026-05-01,197,59,1507
2026-05-02,203,53,1483
2026-05-03,203,53,1606
2026-05-04,203,53,1500
2026-05-05,207,49,2150
2026-05-06,207,49,1668
2026-05-07,207,49,1662
2026-05-08,207,49,1901
2026-05-09,206,50,2157
2026-05-10,206,50,1918
2026-05-11,206,50,2117
2026-05-12,210,51,2234
2026-05-13,210,51,2120
2026-05-14,210,51,2259
2026-05-15,210,51,2167
2026-05-16,198,63,2273
2026-05-17,198,63,2240
2026-05-18,198,63,2573
2026-05-19,198,63,2603
2026-05-20,198,63,2443
2026-05-21,198,63,2721
2026-05-22,198,63,3429
2026-05-23,198,63,2333
2026-05-24,198,63,2445
2026-05-25,198,63,1346
2026-05-26,200,60,864
2026-05-27,200,60,1732
2026-05-28,200,60,2046
2026-05-29,200,60,980
2026-05-30,204,56,1300
2026-05-31,204,56,1346
2026-06-01,204,56,1258
2026-06-02,208,52,1083
2026-06-03,208,52,1151
2026-06-04,208,52,722
2026-06-05,208,52,645
2026-06-06,208,51,783
2026-06-07,208,51,928
2026-06-08,208,51,977
2026-06-09,209,50,738
2026-06-10,209,50,810
2026-06-11,209,50,947
2026-06-12,209,50,533
2026-06-13,210,48,539
2026-06-14,210,48,531
2026-06-15,210,48,788
2026-06-16,210,48,686
2026-06-17,210,48,645
2026-06-18,210,48,427
2026-06-19,210,48,436
2026-06-20,210,48,411
2026-06-21,210,48,647
2026-06-22,210,48,754
2026-06-23,210,48,483
2026-06-24,210,48,686
2026-06-25,210,48,468
2026-06-26,210,48,452
2026-06-27,210,48,449
2026-06-28,210,48,594
2026-06-29,210,48,665
2026-06-30,210,48,647
2026-07-01,209,48,523
2026-07-02,209,48,866
2026-07-03,209,48,646
2026-07-04,209,48,594
2026-07-05,209,48,437
2026-07-06,209,48,488
2026-07-07,209,48,494
2026-07-08,209,48,426
2026-07-09,209,48,612
2026-07-10,209,48,2263