Kraj,Kliknięcia,Wyświetlenia,CTR,Pozycja
Indie,32,8863,0.36%,11.39
Holandia,6,912,0.66%,15.37
Stany Zjednoczone,5,48035,0.01%,10.96
Niemcy,5,1968,0.25%,15.36
Włochy,5,903,0.55%,16.37
Bangladesz,4,1399,0.29%,20.84
Meksyk,3,1772,0.17%,20.09
Kanada,3,1326,0.23%,16.04
Francja,3,1040,0.29%,11.2
Malezja,3,512,0.59%,19.65
Polska,3,481,0.62%,14.7
Wielka Brytania,2,1695,0.12%,19.43
Belgia,2,234,0.85%,12.49
Węgry,2,168,1.19%,12.82
Bułgaria,2,70,2.86%,10.46
Argentyna,1,1849,0.05%,20.78
Filipiny,1,1131,0.09%,18.01
Hiszpania,1,791,0.13%,16.6
Republika Południowej Afryki,1,494,0.2%,18.49
Szwajcaria,1,296,0.34%,16.09
Szwecja,1,195,0.51%,10.7
Rumunia,1,148,0.68%,12.29
Białoruś,1,137,0.73%,16.81
Finlandia,1,134,0.75%,10.43
Dania,1,101,0.99%,12.23
Hongkong,1,94,1.06%,11.35
Madagaskar,1,19,5.26%,11.47
Luksemburg,1,18,5.56%,13.61
Wietnam,0,4770,0%,19.2
Brazylia,0,2438,0%,17.8
Pakistan,0,1904,0%,18.89
Irak,0,1820,0%,17.01
Maroko,0,1302,0%,19.6
Kolumbia,0,1172,0%,19.48
Indonezja,0,1023,0%,18.11
Rosja,0,880,0%,16.41
Wenezuela,0,791,0%,18.23
Chile,0,740,0%,20.16
Egipt,0,508,0%,19.13
Jordania,0,500,0%,17.34
Australia,0,500,0%,17.71
Turcja,0,496,0%,18.2
Ukraina,0,492,0%,19.98
Ekwador,0,486,0%,20.31
Algieria,0,445,0%,19
Arabia Saudyjska,0,422,0%,17.87
Izrael,0,369,0%,18.64
Peru,0,357,0%,19.87
Tunezja,0,353,0%,18.48
Paragwaj,0,352,0%,19.55
Kenia,0,349,0%,17.41
Azerbejdżan,0,339,0%,18.81
Nigeria,0,314,0%,16.47
Urugwaj,0,314,0%,17.48
Boliwia,0,307,0%,19.44
Etiopia,0,302,0%,14.95
Uzbekistan,0,294,0%,19.08
Austria,0,289,0%,16.61
Kazachstan,0,285,0%,18.31
Zjednoczone Emiraty Arabskie,0,266,0%,17.07
Panama,0,258,0%,17.08
Nepal,0,250,0%,18.64
Kostaryka,0,242,0%,16.86
Oman,0,218,0%,18.18
Palestyna,0,213,0%,18.25
Jamajka,0,198,0%,15.02
Senegal,0,197,0%,19.19
Tajlandia,0,192,0%,16.92
Liban,0,170,0%,16.12
Japonia,0,169,0%,9.31
Nowa Zelandia,0,131,0%,22.11
Czechy,0,130,0%,12.71
Serbia,0,122,0%,15.49
Kirgistan,0,122,0%,15.7
Singapur,0,121,0%,14.76
Wybrzeże Kości Słoniowej,0,121,0%,19.5
Chiny,0,119,0%,15.14
Portugalia,0,112,0%,10.12
Nikaragua,0,111,0%,17.47
Albania,0,108,0%,17.01
Honduras,0,106,0%,17.66
Angola,0,106,0%,19.32
Iran,0,97,0%,9.31
Grecja,0,93,0%,11.09
Dominikana,0,93,0%,20.18
Kongo,0,87,0%,17.86
Kuwejt,0,85,0%,21.65
Korea Południowa,0,83,0%,13.25
Gruzja,0,82,0%,15.66
Tajwan,0,81,0%,13
Irlandia,0,81,0%,21.19
Kambodża,0,80,0%,18.99
Armenia,0,79,0%,14.75
Norwegia,0,74,0%,12.01
Łotwa,0,73,0%,10.22
Salwador,0,69,0%,21.43
Syria,0,68,0%,17.59
Gabon,0,67,0%,18.15
Gwatemala,0,58,0%,21.33
Katar,0,56,0%,14.57
Mongolia,0,54,0%,16.2
Sri Lanka,0,53,0%,13.45
Litwa,0,52,0%,10.21
Bahrajn,0,51,0%,17.94
Słowacja,0,50,0%,13.9
Mołdawia,0,50,0%,15.42
Gujana,0,48,0%,16.33
Trynidad i Tobago,0,48,0%,17.35
Myanmar (Birma),0,47,0%,14.7
Togo,0,44,0%,21.27
Estonia,0,43,0%,9.67
Chorwacja,0,42,0%,9.05
Ghana,0,42,0%,14.36
Bośnia i Hercegowina,0,42,0%,14.93
Libia,0,38,0%,14.45
Tanzania,0,32,0%,11.25
Portoryko,0,31,0%,15.42
Słowenia,0,29,0%,8.93
Uganda,0,23,0%,9.13
Mali,0,23,0%,18.09
Mauritius,0,21,0%,15.95
Botswana,0,20,0%,19
Barbados,0,18,0%,10.44
Cypr,0,18,0%,10.94
Surinam,0,18,0%,11.39
Ruanda,0,17,0%,11
Malta,0,15,0%,8.6
Macedonia,0,15,0%,19.2
Kosowo,0,14,0%,12.57
Benin,0,13,0%,18.38
Kamerun,0,13,0%,18.62
Zimbabwe,0,12,0%,16.08
Demokratyczna Republika Konga,0,12,0%,16.17
Belize,0,12,0%,18.42
Brunei,0,11,0%,11.64
Czarnogóra,0,11,0%,15.45
Zambia,0,10,0%,8.6
Mozambik,0,9,0%,11
Afganistan,0,9,0%,15.11
Andora,0,9,0%,19.89
Burkina Faso,0,9,0%,27.33
Jemen,0,8,0%,6.25
Region nieznany,0,8,0%,8.38
Sahara Zachodnia,0,8,0%,15.88
Somalia,0,7,0%,10.14
Laos,0,7,0%,14
Malawi,0,7,0%,14.71
Mauretania,0,7,0%,20.14
Bahamy,0,6,0%,9.83
Malediwy,0,6,0%,16
Sudan,0,4,0%,5.5
Kuba,0,4,0%,6.75
Zielony Przylądek,0,4,0%,10
Tadżykistan,0,4,0%,13
Islandia,0,4,0%,20.5
Sierra Leone,0,4,0%,20.75
Martynika,0,3,0%,7.33
Fidżi,0,3,0%,10.67
Saint Lucia,0,3,0%,13
Namibia,0,3,0%,18.67
Dżibuti,0,3,0%,26.33
San Marino,0,2,0%,2
Lesoto,0,2,0%,4.5
Grenada,0,2,0%,5
Sudan Południowy,0,2,0%,6.5
Burundi,0,2,0%,8.5
Gambia,0,2,0%,8.5
Suazi,0,2,0%,10
Wyspy Owcze,0,2,0%,10.5
Niger,0,2,0%,15.5
Papua-Nowa Gwinea,0,2,0%,19
Sint Maarten,0,2,0%,19
Wyspy Dziewicze Stanów Zjednoczonych,0,2,0%,24
Wyspa Jersey,0,1,0%,1
Turkmenistan,0,1,0%,1
Seszele,0,1,0%,6
Czad,0,1,0%,6
Korea Północna,0,1,0%,7
Antigua i Barbuda,0,1,0%,8
Gwadelupa,0,1,0%,8
Gwinea Bissau,0,1,0%,8
Vanuatu,0,1,0%,9
Gibraltar,0,1,0%,10
Bhutan,0,1,0%,11
Komory,0,1,0%,11
Curaçao,0,1,0%,11
Lichtenstein,0,1,0%,11
Dominika,0,1,0%,20
Timor Wschodni,0,1,0%,32