Data,Kliknięcia,Wyświetlenia,CTR,Pozycja
2026-04-13,4,824,0.49%,10
2026-04-14,0,845,0%,9.4
2026-04-15,2,733,0.27%,9.4
2026-04-16,1,737,0.14%,11.1
2026-04-17,1,691,0.14%,11
2026-04-18,1,472,0.21%,11.8
2026-04-19,0,649,0%,10.7
2026-04-20,3,732,0.41%,11.2
2026-04-21,1,647,0.15%,12.1
2026-04-22,0,729,0%,11.7
2026-04-23,0,758,0%,9.8
2026-04-24,1,732,0.14%,9.9
2026-04-25,0,571,0%,10.7
2026-04-26,2,674,0.3%,10.7
2026-04-27,2,712,0.28%,11.2
2026-04-28,1,814,0.12%,11.2
2026-04-29,5,2318,0.22%,8.4
2026-04-30,3,1875,0.16%,12
2026-05-01,2,1507,0.13%,15.5
2026-05-02,1,1483,0.07%,14.6
2026-05-03,0,1606,0%,16
2026-05-04,0,1500,0%,16.1
2026-05-05,1,2150,0.05%,14.4
2026-05-06,0,1668,0%,14.4
2026-05-07,0,1662,0%,13.7
2026-05-08,0,1901,0%,13
2026-05-09,2,2157,0.09%,8.7
2026-05-10,0,1918,0%,10.8
2026-05-11,1,2117,0.05%,12.5
2026-05-12,4,2234,0.18%,11.3
2026-05-13,1,2120,0.05%,12.2
2026-05-14,4,2259,0.18%,15.4
2026-05-15,1,2167,0.05%,15.4
2026-05-16,1,2273,0.04%,16.6
2026-05-17,1,2240,0.04%,16.8
2026-05-18,1,2573,0.04%,19.6
2026-05-19,3,2603,0.12%,20.5
2026-05-20,1,2443,0.04%,20.6
2026-05-21,0,2721,0%,17.6
2026-05-22,2,3429,0.06%,19.3
2026-05-23,0,2333,0%,21
2026-05-24,0,2445,0%,19.8
2026-05-25,1,1346,0.07%,12.3
2026-05-26,3,864,0.35%,11.7
2026-05-27,1,1732,0.06%,15.5
2026-05-28,2,2046,0.1%,18.1
2026-05-29,2,980,0.2%,12.1
2026-05-30,0,1300,0%,11
2026-05-31,0,1346,0%,9.6
2026-06-01,1,1258,0.08%,10.4
2026-06-02,1,1083,0.09%,10.2
2026-06-03,3,1151,0.26%,11
2026-06-04,1,722,0.14%,11.8
2026-06-05,0,645,0%,11.9
2026-06-06,2,783,0.26%,10.9
2026-06-07,0,928,0%,13.1
2026-06-08,1,977,0.1%,11.2
2026-06-09,2,738,0.27%,11.3
2026-06-10,0,810,0%,13.5
2026-06-11,1,947,0.11%,10.4
2026-06-12,2,533,0.38%,12.1
2026-06-13,0,539,0%,13.6
2026-06-14,1,531,0.19%,12.9
2026-06-15,1,788,0.13%,11.3
2026-06-16,1,686,0.15%,14.3
2026-06-17,2,645,0.31%,13
2026-06-18,1,427,0.23%,12.6
2026-06-19,1,436,0.23%,13
2026-06-20,0,411,0%,13.2
2026-06-21,1,647,0.15%,11.1
2026-06-22,2,754,0.27%,13.3
2026-06-23,0,483,0%,13.7
2026-06-24,0,686,0%,13
2026-06-25,0,468,0%,11.1
2026-06-26,1,452,0.22%,13.8
2026-06-27,1,449,0.22%,11.1
2026-06-28,0,594,0%,12.6
2026-06-29,1,665,0.15%,10.5
2026-06-30,0,647,0%,9.8
2026-07-01,1,523,0.19%,10.9
2026-07-02,0,866,0%,10.7
2026-07-03,0,646,0%,11.6
2026-07-04,0,594,0%,12.2
2026-07-05,0,437,0%,13.6
2026-07-06,0,488,0%,12.1
2026-07-07,2,494,0.4%,12.1
2026-07-08,1,426,0.23%,11.1
2026-07-09,0,612,0%,15.7
2026-07-10,0,2263,0%,22.4
2026-07-11,0,578,0%,19.5
2026-07-12,0,711,0%,18